id,name,latDeg,longDeg,elevFt
4650,Utirik Airport,11.222,169.852005,2100
4777,Dynasty Heliport,14.960012,145.631075,247
6523,Total Rf Heliport,40.07080078,-74.93360138,10175
6524,Lowell Field,59.947733,-151.692524,8143
6525,Epps Airpark,34.8647995,-86.77030182,8000
6526,Newport Hospital & Clinic Heliport,35.6087,-91.254898,7920
6527,Cordes Airport,34.30559921,-112.1650009,7720
6528,Goldstone (GTS) Airport,35.35474,-116.885329,7681
6529,Cass Field,40.622202,-104.344002,7500
6530,Lava Hot Springs Airport,42.6082,-112.031998,4480
6531,Grass Patch Airport,28.64550018,-82.21900177,7378
6532,Ringhaver Heliport,28.84659958,-82.34539795,6662
6533,River Oak Airport,27.23089981,-80.96920013,6620
6534,Lt World Airport,33.76750183,-84.06829834,6600
6535,Caffrey Heliport,33.887982,-84.736983,6409
6536,Kaupulehu Heliport,19.832715,-155.980233,6400
6537,Delta Shores Airport,48.14530182,-116.2139969,6397
6538,Bailey Generation Station Heliport,41.644501,-87.122803,6160
6539,Hammer Airport,41.978401,-89.560402,6138
6540,St Mary Medical Center Heliport,41.51139832,-87.26059723,6120
6541,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192,6005
6542,Hayden Farm Airport,38.72779846,-94.93049622,6000
6543,Robbins Roost Airport,37.40940094,-84.61969757,5900
6544,Ac & R Components Heliport,39.66529846,-89.70559692,5830
6545,Lejeune Airport,30.136299,-92.429398,5800
6546,Slater Field,38.75709915,-75.75379944,5800
6547,Dow Chemical Heliport,43.94940186,-86.41670227,5742
6548,Battle Lake Municipal Airport,46.29999924,-95.70030212,5698
6549,Cooper Flying Service Airport,37.20280075,-94.41239929,5686
6551,Bucks Airport,39.47320175,-75.18520355,5634
6552,North Raleigh Airport,36.08520126,-78.37139893,5600
6553,Colgate-Piscataway Heliport,40.52090073,-74.47460175,5600
6554,Weiss Airfield,42.90010071,-77.49970245,5556
6555,Exit 3 Airport,41.590476,-84.141583,5521
6556,Miami Valley Hospital Heliport,39.74530029,-84.18740082,5515
6557,Steel Systems Heliport,44.93289948,-123.1299973,5359
6558,R J D Heliport,39.94889832,-75.74690247,5356
6559,Thomas Field,40.3778,-77.365303,5315
6560,McKenzie Bridge State Airport,44.181466,-122.086,5300
